class,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11
1,0.105043753732506,0.0796722780808132,0.0486327180515394,0.0317265985602324,0.0162681791486284,0.00397497878005785,0.00260073248136182,0.0426456495276491,0.000736155529037477,293.037412443083,291.415634811763
1,0.1068104320483,0.0824695187714881,0.0508410659702139,0.0349409716182288,0.0193107917812712,0.00753287273769611,0.00539797355577515,0.0436516746849835,0.000613469537696827,292.965218856978,291.453752594841
1,0.105019216533675,0.0797458896779362,0.0489026272415996,0.0323645657320485,0.0169306835121877,0.00461294597246196,0.00345953456561152,0.0436271374860241,0.000760692727305596,293.017501606097,291.450820857193
1,0.109337763527839,0.0839662879129896,0.052386909513286,0.0366831127412651,0.021077470084096,0.00922593951753776,0.006649370878539,0.0466697501569867,0.000245411563674914,292.798248976681,291.166125179244
1,0.107055804036605,0.0818560887954629,0.0508165287711175,0.0348673600214808,0.0188445850069146,0.00699305434412341,0.00478454349559679,0.0447067742402367,0.000319023158479308,293.027457465779,291.43029682949
1,0.105902555691572,0.0803102452558794,0.0485836436533466,0.0317756729580644,0.0170288323067891,0.00542267356282101,0.00343499736320438,0.0426211123286897,0.000515320744624333,293.044878097142,291.609039557316
1,0.106761357650639,0.0817088656012168,0.0503257847891898,0.0342784672474967,0.0179121714582015,0.00603610355551725,0.00461278307874684,0.0452465926173429,0.000588932339428708,292.942804509057,291.333496714697
1,0.103620596200338,0.0785435669249268,0.0477003044858768,0.0310640941895003,0.0151640052093629,0.0039995159797657,0.00215906283803339,0.041271566385924,0.000883378718646227,293.194087126916,291.591469264103
1,0.106565060059995,0.0815861796060118,0.0500313384000332,0.0334196652854366,0.0175686506770967,0.00581526875814661,0.00397481581616135,0.0436516746849835,0.000932453115182483,292.985138965383,291.386305778826
1,0.106785894849469,0.0825922047666931,0.0516753307394909,0.0356280131878769,0.0208811724948933,0.00888241872162786,0.00620770123521059,0.0461299317798805,0.000883378718646227,293.134427277708,291.626607463371
1,0.109166003136025,0.0835000811312104,0.0524114467123824,0.036437740752105,0.0212246932759981,0.00927501391695346,0.00704196611705315,0.0463016921725961,0.001030601908255,293.019990653753,291.342299726718
1,0.105092828130166,0.0801630220616333,0.0484609576578647,0.0322664169363845,0.0161945675526774,0.004441185574507,0.00296879051746884,0.0422285171453397,0.000564395141160571,293.027457465779,291.351102138033
1,0.104430323761744,0.0784699553278037,0.0483628088614791,0.0312603917808284,0.016243641949978,0.00397497878005785,0.00291971611265456,0.0417132359671928,0.000760692727305596,293.25371535119,291.652954848777
1,0.106049778884555,0.0809727496299866,0.0487554040470213,0.0323154913342165,0.0175441134784463,0.00576619435873091,0.00429379944745411,0.0427683355224459,0.000662543934233083,292.910420323965,291.356970078581
1,0.104626621352387,0.079206071299034,0.0480928996714189,0.0311867801840804,0.0164399395391808,0.00488285516924831,0.00341046016079727,0.0418359219619896,0.000687081132501221,293.286000785907,291.617823808674
1,0.10577986969742,0.0804820056491664,0.0488780900425032,0.0324381773287965,0.0160718815594256,0.00456387157304626,0.00321416254154018,0.0424738891349334,0.000613469537696827,292.97268931183,291.488928256092
1,0.107276638826079,0.0817824771983399,0.0505711567801537,0.0344502276399088,0.0184029154312084,0.00718935194178621,0.00505445272207527,0.0436026002870647,0.000711618330769339,292.895470624195,291.271858799874
1,0.106687746054147,0.0810218240280686,0.0497123548117802,0.0329043841082006,0.017519576279796,0.00564350836019165,0.00407296462578988,0.0429891703130803,0.000319023158479308,292.910420323965,291.450820857193
1,0.106663208855317,0.0813898820136837,0.0497123548117802,0.0334932768821847,0.0171515183000408,0.00539813636311316,0.00392574141134709,0.0440933442662523,0.000711618330769339,292.793260978077,291.192566720284
1,0.105313662919641,0.079156996900952,0.0474794696940093,0.0305733502111803,0.0152130796066636,0.00397497878005785,0.0027234184933975,0.0409280456004927,0.000907915916914364,293.02496858359,291.362837752245
1,0.10631968807169,0.0809727496299866,0.0494179084226236,0.0332479048930246,0.0166853115256843,0.00488285516924831,0.00375398099449714,0.0435044514912272,0.000392634753283683,293.044878097142,291.345233930562
1,0.107546548013214,0.0825185931695701,0.0510128263638886,0.0347692112258168,0.0195561637677746,0.00785185633389816,0.00566788278225363,0.0450748322246273,0.000294485960211171,292.883011019155,291.403903998358
1,0.104871993340692,0.0795005176875261,0.0484854948569611,0.0318002101569804,0.0156056747850691,0.0035087719856087,0.00206091402840486,0.0425229635328522,0.00083430432210999,293.044878097142,291.433229033212
1,0.106098853282216,0.0807028404405355,0.0493197596262381,0.0326835493179565,0.0171024439027401,0.0052754503645739,0.00392574141134709,0.0432836167005929,0.000858841520378108,293.094636450675,291.600254709169
1,0.107301176024909,0.0823959071743651,0.051233661155756,0.0354317155965489,0.0199732961448305,0.0076800959359432,0.00559427117503221,0.045835485392368,0.000858841520378108,293.047366538244,291.356970078581
1,0.105460886112624,0.0798685756731412,0.0475285440922021,0.0311131685873323,0.0158510467715725,0.00446572277421485,0.00299332771987598,0.0414433267786396,0.000564395141160571,293.057319751496,291.658809094565
1,0.108012754790993,0.0833037835388824,0.0521170003232258,0.036462277951021,0.0212001560773478,0.00964307191257121,0.00736094974834591,0.046228080575718,0.000515320744624333,292.94778586208,291.286537166635
1,0.108429887171111,0.0831810975436773,0.0520924631241294,0.036167831564029,0.0205131145151381,0.00848982352630226,0.00694381730742462,0.046228080575718,0.000490783546356196,292.917894426967,291.257178761596
1,0.10835627557462,0.0828866511551852,0.0515035703458162,0.0353826411987169,0.0200223705421312,0.00856343512542582,0.00628131284243199,0.0456637249996523,0.00083430432210999,292.960238277548,291.400971128408
1,0.10629515087286,0.0811690472223147,0.0499086524045513,0.0331497560973606,0.0179857830541525,0.00623240115318006,0.00461278307874684,0.0430382447109991,0.000490783546356196,292.970199215447,291.342299726718
1,0.106687746054147,0.0812917332175197,0.0495160572190092,0.0330025329038646,0.0176667994716981,0.00581526875814661,0.00382759260171854,0.0434308398943491,0.000392634753283683,292.925368032181,291.483066311161
1,0.107522010814384,0.0830338743494313,0.0514054215494307,0.0357506991824569,0.0204395029191871,0.00883334432221216,0.00684566849779609,0.0464489153663524,0.000613469537696827,293.02496858359,291.359903948771
1,0.108945168346551,0.0837454531216205,0.052509595508768,0.0368303359347611,0.0206603377070401,0.00861250952484151,0.00674751968816753,0.0465716013611492,0.000809767123841852,292.905437312031,291.312954016507
1,0.104675695750048,0.0795741292846491,0.0479456764768406,0.0316039125656524,0.0157283607783208,0.00377868118239505,0.00257619527895469,0.0403146156265083,0.000711618330769339,293.02496858359,291.46254740843
1,0.105534497709115,0.0808255264357405,0.0490253132370815,0.0329289213071166,0.0168325347175863,0.0047847063704169,0.00355768337524006,0.0429400959151616,0.000711618330769339,293.097123790084,291.512373375979
1,0.107595622410875,0.082150535183955,0.0507919915720211,0.0340821696561687,0.0187955106096139,0.00699305434412341,0.00505445272207527,0.0450257578267085,0.00083430432210999,292.96770906383,291.198441881268
1,0.105730795299759,0.0809727496299866,0.0493688340244309,0.0331497560973606,0.0173968902865443,0.0055698967610681,0.00424472504263983,0.0433817654964303,0.000809767123841852,292.945295213203,291.403903998358
1,0.105117365328997,0.079328757294239,0.047970213675937,0.0315793753667364,0.0160228071621249,0.00414673917801281,0.00279703010061889,0.0421303683495022,0.000638006735964965,292.965218856978,291.433229033212
1,0.104332174966422,0.0790588481047879,0.0472095605039491,0.0312849289797444,0.0149431704215098,0.00387682998122645,0.00218360004044053,0.0410998059932084,0.000613469537696827,292.90792884566,291.456684265927
1,0.105583572106776,0.0806046916443715,0.0487063296488285,0.0321437309418045,0.0172251298959919,0.00603610355551725,0.0041465762330113,0.0419831451557459,0.000736155529037477,293.107072597295,291.459615870455
